Date;Day;Rate;Remark
1/6/2023;Friday;15607.20000;USD IDR rate for 1/6/2023
1/5/2023;Thursday;15635.20000;USD IDR rate for 1/5/2023
1/4/2023;Wednesday;15581.95000;USD IDR rate for 1/4/2023
1/3/2023;Tuesday;15594.30000;USD IDR rate for 1/3/2023
1/2/2023;Monday;15554.00000;USD IDR rate for 1/2/2023
12/30/2022;Friday;15534.30000;USD IDR rate for 12/30/2022
12/29/2022;Thursday;15626.50000;USD IDR rate for 12/29/2022
12/28/2022;Wednesday;15788.95000;USD IDR rate for 12/28/2022
12/27/2022;Tuesday;15620.05955;USD IDR rate for 12/27/2022
12/26/2022;Monday;15621.17514;USD IDR rate for 12/26/2022
12/23/2022;Friday;15582.47866;USD IDR rate for 12/23/2022
12/22/2022;Thursday;15573.70210;USD IDR rate for 12/22/2022
12/21/2022;Wednesday;15539.50000;USD IDR rate for 12/21/2022
12/20/2022;Tuesday;15563.50000;USD IDR rate for 12/20/2022
12/19/2022;Monday;15567.55000;USD IDR rate for 12/19/2022
12/16/2022;Friday;15616.05000;USD IDR rate for 12/16/2022
12/15/2022;Thursday;15629.40000;USD IDR rate for 12/15/2022
12/14/2022;Wednesday;15543.30000;USD IDR rate for 12/14/2022
12/13/2022;Tuesday;15560.20000;USD IDR rate for 12/13/2022
12/12/2022;Monday;15676.35000;USD IDR rate for 12/12/2022
12/9/2022;Friday;15603.50000;USD IDR rate for 12/9/2022
12/8/2022;Thursday;15594.15000;USD IDR rate for 12/8/2022
12/7/2022;Wednesday;15611.64423;USD IDR rate for 12/7/2022
12/6/2022;Tuesday;15624.97500;USD IDR rate for 12/6/2022
12/5/2022;Monday;15520.35000;USD IDR rate for 12/5/2022
12/2/2022;Friday;15376.20000;USD IDR rate for 12/2/2022
12/1/2022;Thursday;15389.05000;USD IDR rate for 12/1/2022
11/30/2022;Wednesday;15632.95000;USD IDR rate for 11/30/2022
11/29/2022;Tuesday;15733.50000;USD IDR rate for 11/29/2022
11/28/2022;Monday;15742.83672;USD IDR rate for 11/28/2022
11/25/2022;Friday;15692.83343;USD IDR rate for 11/25/2022
11/24/2022;Thursday;15646.60000;USD IDR rate for 11/24/2022
11/23/2022;Wednesday;15626.00000;USD IDR rate for 11/23/2022
11/22/2022;Tuesday;15663.68193;USD IDR rate for 11/22/2022
11/21/2022;Monday;15740.80000;USD IDR rate for 11/21/2022
11/18/2022;Friday;15641.30000;USD IDR rate for 11/18/2022
11/17/2022;Thursday;15713.60341;USD IDR rate for 11/17/2022
11/16/2022;Wednesday;15638.60000;USD IDR rate for 11/16/2022
11/15/2022;Tuesday;15556.92221;USD IDR rate for 11/15/2022
11/14/2022;Monday;15554.40000;USD IDR rate for 11/14/2022
11/11/2022;Friday;15473.86895;USD IDR rate for 11/11/2022
11/10/2022;Thursday;15519.50906;USD IDR rate for 11/10/2022
11/9/2022;Wednesday;15691.50000;USD IDR rate for 11/9/2022
11/8/2022;Tuesday;15638.12198;USD IDR rate for 11/8/2022
11/7/2022;Monday;15685.02606;USD IDR rate for 11/7/2022
11/4/2022;Friday;15614.50000;USD IDR rate for 11/4/2022
11/3/2022;Thursday;15790.00000;USD IDR rate for 11/3/2022
11/2/2022;Wednesday;15684.50000;USD IDR rate for 11/2/2022
11/1/2022;Tuesday;15673.90000;USD IDR rate for 11/1/2022
10/31/2022;Monday;15623.75000;USD IDR rate for 10/31/2022
10/28/2022;Friday;15557.12089;USD IDR rate for 10/28/2022
10/27/2022;Thursday;15560.25000;USD IDR rate for 10/27/2022
